id_cliente2,nombre,apellido,mail
cliente_01,Feliciana,Cantón,feliciana.cantón@example.com
cliente_02,Leonardo,Hierro,leonardo.hierro@example.com
cliente_03,Maite,Calatayud,maite.calatayud@example.com
cliente_04,Tecla,Bonet,tecla.bonet@example.com
cliente_05,Amílcar,Andrés,amílcar.andrés@example.com
cliente_06,Joan,Vazquez,joan.vazquez@example.com
cliente_07,Chelo,Flor,chelo.flor@example.com
cliente_08,Judith,Rivas,judith.rivas@example.com
cliente_09,Dolores,Lobo,dolores.lobo@example.com
cliente_10,Adolfo,Cuervo,adolfo.cuervo@example.com
cliente_11,Noé,Lobo,noé.lobo@example.com
cliente_12,María Carmen,Navarro,maría carmen.navarro@example.com
cliente_13,Ricardo,Caballero,ricardo.caballero@example.com
cliente_14,Omar,Lamas,omar.lamas@example.com
cliente_15,Luna,Segovia,luna.segovia@example.com
cliente_16,Ágata,Pinedo,ágata.pinedo@example.com
cliente_17,Lázaro,Pardo,lázaro.pardo@example.com
cliente_18,Julie,Baños,julie.baños@example.com
cliente_19,Javier,Mancebo,javier.mancebo@example.com
cliente_20,Rita,Guerrero,rita.guerrero@example.com
cliente_21,Ricardo,Lobo,ricardo.lobo@example.com
cliente_22,Perlita,Patiño,perlita.patiño@example.com
cliente_23,Pedro,Gallego,pedro.gallego@example.com
cliente_24,Judith,Bellido,judith.bellido@example.com
cliente_25,Francisco Javier,Hierro,francisco javier.hierro@example.com
cliente_26,Reynaldo,Lerma,reynaldo.lerma@example.com
cliente_27,Felicidad,Gimenez,felicidad.gimenez@example.com
cliente_28,Pía,Barba,pía.barba@example.com
cliente_29,Amílcar,Moles,amílcar.moles@example.com
cliente_30,Blas,Galván,blas.galván@example.com
cliente_31,Claudia,Miranda,claudia.miranda@example.com
cliente_32,Angelina,Priego,angelina.priego@example.com
cliente_33,Fernanda,Segarra,fernanda.segarra@example.com
cliente_34,Emilio,Huerta,emilio.huerta@example.com
cliente_35,Bárbara,Jódar,bárbara.jódar@example.com
cliente_36,Tiburcio,Pujol,tiburcio.pujol@example.com
cliente_37,Emiliano,Vergara,emiliano.vergara@example.com
cliente_38,Marisol,Arévalo,marisol.arévalo@example.com
cliente_39,Ezequiel,Cuesta,ezequiel.cuesta@example.com
cliente_40,Telmo,Bartolomé,telmo.bartolomé@example.com
cliente_41,Débora,Solé,débora.solé@example.com
cliente_42,Carolina,Alberdi,carolina.alberdi@example.com
cliente_43,Darío,Lasa,darío.lasa@example.com
cliente_44,Noé,Cantón,noé.cantón@example.com
cliente_45,Fausto,Santiago,fausto.santiago@example.com
cliente_46,Lorenza,Lago,lorenza.lago@example.com
cliente_47,María Belén,Escalona,maría belén.escalona@example.com
cliente_48,Curro,Martín,curro.martín@example.com
cliente_49,Anunciación,Flor,anunciación.flor@example.com
cliente_50,María Belén,Cuéllar,maría belén.cuéllar@example.com
cliente_51,Melania,Abascal,melania.abascal@example.com
cliente_52,Amaya,Aliaga,amaya.aliaga@example.com
cliente_53,Primitivo,Meléndez,primitivo.meléndez@example.com
cliente_54,Jose Angel,Bermúdez,jose angel.bermúdez@example.com
cliente_55,Amalia,Bayón,amalia.bayón@example.com
cliente_56,Berta,Casas,berta.casas@example.com
cliente_57,Aitana,Dalmau,aitana.dalmau@example.com
cliente_58,Salud,Rocha,salud.rocha@example.com
cliente_59,Úrsula,Font,úrsula.font@example.com
cliente_60,Sabas,Perea,sabas.perea@example.com
cliente_61,Asunción,Sanmiguel,asunción.sanmiguel@example.com
cliente_62,Jafet,Baró,jafet.baró@example.com
cliente_63,Dionisia,Grau,dionisia.grau@example.com
cliente_64,Adrián,Belda,adrián.belda@example.com
cliente_65,Benigno,Granados,benigno.granados@example.com
cliente_66,Amílcar,Murillo,amílcar.murillo@example.com
cliente_67,Jordán,Lopez,jordán.lopez@example.com
cliente_68,Iker,Catalán,iker.catalán@example.com
cliente_69,Sofía,Suárez,sofía.suárez@example.com
cliente_70,Ainara,Ramírez,ainara.ramírez@example.com
cliente_71,Cleto,Rosa,cleto.rosa@example.com
cliente_72,Segismundo,Solera,segismundo.solera@example.com
cliente_73,Baltasar,Cabello,baltasar.cabello@example.com
